Year,Average Yield,Year Open,Year High,Year Low,Year Close,Annual % Change
2020,1.13%,1.88%,1.88%,0.54%,0.64%,-66.67%
2019,2.14%,2.66%,2.79%,1.47%,1.92%,-28.62%
2018,2.91%,2.46%,3.24%,2.44%,2.69%,11.83%
2017,2.33%,2.44%,2.63%,2.04%,2.41%,-1.59%
2016,1.84%,2.24%,2.60%,1.37%,2.44%,7.68%
2015,2.14%,2.12%,2.50%,1.68%,2.27%,4.61%
2014,2.54%,3.00%,3.01%,2.07%,2.17%,-28.62%
2013,2.35%,1.86%,3.04%,1.66%,3.04%,70.79%
2012,1.80%,1.97%,2.39%,1.43%,1.78%,-5.82%
2011,2.78%,3.36%,3.75%,1.72%,1.89%,-42.73%
2010,3.22%,3.85%,4.01%,2.41%,3.30%,-14.29%
2009,3.26%,2.46%,3.98%,2.23%,3.85%,71.11%
2008,3.66%,3.91%,4.27%,2.08%,2.25%,-44.31%
2007,4.63%,4.68%,5.26%,3.83%,4.04%,-14.23%
2006,4.80%,4.37%,5.25%,4.34%,4.71%,7.29%
2005,4.29%,4.23%,4.66%,3.89%,4.39%,3.54%
2004,4.27%,4.38%,4.89%,3.70%,4.24%,-0.70%
2003,4.01%,4.07%,4.61%,3.13%,4.27%,11.49%
2002,4.61%,5.20%,5.44%,3.61%,3.83%,-24.46%
2001,5.02%,4.92%,5.54%,4.22%,5.07%,-0.98%
2000,6.03%,6.58%,6.79%,5.02%,5.12%,-20.62%
1999,5.65%,4.69%,6.45%,4.63%,6.45%,38.71%
1998,5.26%,5.67%,5.81%,4.16%,4.65%,-19.13%
1997,6.35%,6.54%,6.98%,5.72%,5.75%,-10.58%
1996,6.44%,5.60%,7.06%,5.53%,6.43%,15.23%
1995,6.57%,7.88%,7.89%,5.58%,5.58%,-28.83%
1994,7.09%,5.92%,8.05%,5.60%,7.84%,34.48%
1993,5.87%,6.60%,6.76%,5.19%,5.83%,-12.99%
1992,7.01%,6.78%,7.71%,6.23%,6.70%,-0.15%
1991,7.86%,7.97%,8.36%,6.71%,6.71%,-16.96%
1990,8.55%,7.94%,9.09%,7.91%,8.08%,1.89%
1989,8.49%,9.23%,9.53%,7.74%,7.93%,-13.24%
1988,8.85%,8.83%,9.41%,8.11%,9.14%,3.51%
1987,8.39%,7.18%,10.23%,7.01%,8.83%,22.13%
1986,7.67%,9.04%,9.49%,6.95%,7.23%,-19.67%
1985,10.62%,11.70%,12.02%,8.99%,9.00%,-22.08%
1984,12.46%,11.86%,13.99%,11.24%,11.55%,-2.28%
1983,11.10%,10.32%,12.20%,10.12%,11.82%,14.09%
1982,13.01%,14.19%,14.95%,10.36%,10.36%,-25.89%
1981,13.92%,12.42%,15.84%,12.11%,13.98%,12.47%
1980,11.43%,10.50%,13.65%,9.47%,12.43%,20.33%
1979,9.43%,9.18%,11.02%,8.76%,10.33%,12.90%
1978,8.41%,7.83%,9.16%,7.82%,9.15%,17.61%
1977,7.42%,6.84%,7.82%,6.84%,7.78%,14.24%
1976,7.61%,7.77%,8.00%,6.80%,6.81%,-12.24%
1975,7.99%,7.42%,8.59%,7.22%,7.76%,4.86%
1974,7.56%,6.94%,8.16%,6.93%,7.40%,7.25%
1973,6.85%,6.43%,7.58%,6.40%,6.90%,7.64%
1972,6.21%,5.94%,6.62%,5.85%,6.41%,8.83%
1971,6.16%,6.46%,6.95%,5.38%,5.89%,-9.38%
1970,7.35%,7.86%,8.22%,6.21%,6.50%,-17.51%
1969,6.67%,6.04%,8.05%,5.95%,7.88%,27.92%
1968,5.64%,5.63%,6.27%,5.34%,6.16%,8.07%
1967,5.07%,4.69%,5.87%,4.45%,5.70%,22.84%
1966,4.93%,4.63%,5.51%,4.56%,4.64%,-0.22%
1965,4.28%,4.20%,4.67%,4.17%,4.65%,10.45%
1964,4.19%,4.14%,4.26%,4.12%,4.21%,1.69%
1963,4.00%,3.82%,4.17%,3.80%,4.14%,7.53%
