index,year,s&p_closing_prices,real_us_gdp,s&p_eps,average_10y_yield,average_annual_inflation
0,1979,96.730003,6827700.288,50.01,9.43,11.3
1,1979,97.800003,6827700.288,50.01,9.43,11.3
2,1979,98.580002,6827700.288,50.01,9.43,11.3
3,1979,99.129997,6827700.288,50.01,9.43,11.3
4,1979,98.800003,6827700.288,50.01,9.43,11.3
5,1979,99.330002,6827700.288,50.01,9.43,11.3
6,1979,98.769997,6827700.288,50.01,9.43,11.3
7,1979,99.099998,6827700.288,50.01,9.43,11.3
8,1979,99.93,6827700.288,50.01,9.43,11.3
9,1979,100.690002,6827700.288,50.01,9.43,11.3
10,1979,99.459999,6827700.288,50.01,9.43,11.3
11,1979,99.480003,6827700.288,50.01,9.43,11.3
12,1979,99.720001,6827700.288,50.01,9.43,11.3
13,1979,99.75,6827700.288,50.01,9.43,11.3
14,1979,99.900002,6827700.288,50.01,9.43,11.3
15,1979,100.599998,6827700.288,50.01,9.43,11.3
16,1979,100.160004,6827700.288,50.01,9.43,11.3
17,1979,101.190002,6827700.288,50.01,9.43,11.3
18,1979,101.860001,6827700.288,50.01,9.43,11.3
19,1979,101.550003,6827700.288,50.01,9.43,11.3
20,1979,101.050003,6827700.288,50.01,9.43,11.3
21,1979,99.93,6827700.288,50.01,9.43,11.3
22,1979,99.959999,6827700.288,50.01,9.43,11.3
23,1979,99.5,6827700.288,50.01,9.43,11.3
24,1979,98.089996,6827700.288,50.01,9.43,11.3
25,1979,98.050003,6827700.288,50.01,9.43,11.3
26,1979,97.160004,6827700.288,50.01,9.43,11.3
27,1979,97.650002,6827700.288,50.01,9.43,11.3
28,1979,97.870003,6827700.288,50.01,9.43,11.3
29,1979,98.199997,6827700.288,50.01,9.43,11.3
30,1979,98.93,6827700.288,50.01,9.43,11.3
31,1979,98.870003,6827700.288,50.01,9.43,11.3
32,1979,98.730003,6827700.288,50.01,9.43,11.3
33,1979,98.669998,6827700.288,50.01,9.43,11.3
34,1979,99.419998,6827700.288,50.01,9.43,11.3
35,1979,99.07,6827700.288,50.01,9.43,11.3
36,1979,98.330002,6827700.288,50.01,9.43,11.3
37,1979,97.779999,6827700.288,50.01,9.43,11.3
38,1979,97.669998,6827700.288,50.01,9.43,11.3
39,1979,96.129997,6827700.288,50.01,9.43,11.3
40,1979,96.279999,6827700.288,50.01,9.43,11.3
41,1979,96.900002,6827700.288,50.01,9.43,11.3
42,1979,96.970001,6827700.288,50.01,9.43,11.3
43,1979,98.059998,6827700.288,50.01,9.43,11.3
44,1979,97.870003,6827700.288,50.01,9.43,11.3
45,1979,98.440002,6827700.288,50.01,9.43,11.3
46,1979,99.580002,6827700.288,50.01,9.43,11.3
47,1979,99.540001,6827700.288,50.01,9.43,11.3
48,1979,99.669998,6827700.288,50.01,9.43,11.3
49,1979,99.839996,6827700.288,50.01,9.43,11.3
50,1979,99.709999,6827700.288,50.01,9.43,11.3
51,1979,99.860001,6827700.288,50.01,9.43,11.3
52,1979,100.690002,6827700.288,50.01,9.43,11.3
53,1979,101.059998,6827700.288,50.01,9.43,11.3
54,1979,100.5,6827700.288,50.01,9.43,11.3
55,1979,101.25,6827700.288,50.01,9.43,11.3
56,1979,101.669998,6827700.288,50.01,9.43,11.3
57,1979,101.599998,6827700.288,50.01,9.43,11.3
58,1979,101.040001,6827700.288,50.01,9.43,11.3
59,1979,102.480003,6827700.288,50.01,9.43,11.3
60,1979,102.120003,6827700.288,50.01,9.43,11.3
61,1979,102.029999,6827700.288,50.01,9.43,11.3
62,1979,101.589996,6827700.288,50.01,9.43,11.3
63,1979,100.900002,6827700.288,50.01,9.43,11.3
64,1979,102.400002,6827700.288,50.01,9.43,11.3
65,1979,102.650002,6827700.288,50.01,9.43,11.3
66,1979,103.260002,6827700.288,50.01,9.43,11.3
67,1979,103.18,6827700.288,50.01,9.43,11.3
68,1979,102.870003,6827700.288,50.01,9.43,11.3
69,1979,103.339996,6827700.288,50.01,9.43,11.3
70,1979,102.309998,6827700.288,50.01,9.43,11.3
71,1979,102,6827700.288,50.01,9.43,11.3
72,1979,101.120003,6827700.288,50.01,9.43,11.3
73,1979,101.239998,6827700.288,50.01,9.43,11.3
74,1979,101.699997,6827700.288,50.01,9.43,11.3
75,1979,101.279999,6827700.288,50.01,9.43,11.3
76,1979,101.230003,6827700.288,50.01,9.43,11.3
77,1979,101.57,6827700.288,50.01,9.43,11.3
78,1979,102.199997,6827700.288,50.01,9.43,11.3
79,1979,102.5,6827700.288,50.01,9.43,11.3
80,1979,102.010002,6827700.288,50.01,9.43,11.3
81,1979,101.800003,6827700.288,50.01,9.43,11.3
82,1979,101.760002,6827700.288,50.01,9.43,11.3
83,1979,101.68,6827700.288,50.01,9.43,11.3
84,1979,101.720001,6827700.288,50.01,9.43,11.3
85,1979,101.809998,6827700.288,50.01,9.43,11.3
86,1979,100.690002,6827700.288,50.01,9.43,11.3
87,1979,99.019997,6827700.288,50.01,9.43,11.3
88,1979,99.169998,6827700.288,50.01,9.43,11.3
89,1979,99.459999,6827700.288,50.01,9.43,11.3
90,1979,98.519997,6827700.288,50.01,9.43,11.3
91,1979,98.519997,6827700.288,50.01,9.43,11.3
92,1979,98.059998,6827700.288,50.01,9.43,11.3
93,1979,98.139999,6827700.288,50.01,9.43,11.3
94,1979,98.419998,6827700.288,50.01,9.43,11.3
95,1979,99.940002,6827700.288,50.01,9.43,11.3
96,1979,99.93,6827700.288,50.01,9.43,11.3
97,1979,100.139999,6827700.288,50.01,9.43,11.3
98,1979,100.510002,6827700.288,50.01,9.43,11.3
99,1979,99.889999,6827700.288,50.01,9.43,11.3
100,1979,99.93,6827700.288,50.01,9.43,11.3
101,1979,100.220001,6827700.288,50.01,9.43,11.3
102,1979,100.050003,6827700.288,50.01,9.43,11.3
103,1979,99.110001,6827700.288,50.01,9.43,11.3
104,1979,99.080002,6827700.288,50.01,9.43,11.3
105,1979,99.169998,6827700.288,50.01,9.43,11.3
106,1979,99.32,6827700.288,50.01,9.43,11.3
107,1979,100.620003,6827700.288,50.01,9.43,11.3
108,1979,101.300003,6827700.288,50.01,9.43,11.3
109,1979,101.790001,6827700.288,50.01,9.43,11.3
110,1979,101.489998,6827700.288,50.01,9.43,11.3
111,1979,101.910004,6827700.288,50.01,9.43,11.3
112,1979,102.849998,6827700.288,50.01,9.43,11.3
113,1979,102.309998,6827700.288,50.01,9.43,11.3
114,1979,102.199997,6827700.288,50.01,9.43,11.3
115,1979,102.089996,6827700.288,50.01,9.43,11.3
116,1979,101.559998,6827700.288,50.01,9.43,11.3
117,1979,101.580002,6827700.288,50.01,9.43,11.3
118,1979,101.629997,6827700.288,50.01,9.43,11.3
119,1979,102.089996,6827700.288,50.01,9.43,11.3
120,1979,102.639999,6827700.288,50.01,9.43,11.3
121,1979,102.089996,6827700.288,50.01,9.43,11.3
122,1979,101.660004,6827700.288,50.01,9.43,11.3
123,1979,102.269997,6827700.288,50.01,9.43,11.3
124,1979,102.800003,6827700.288,50.01,9.43,11.3
125,1979,102.910004,6827700.288,50.01,9.43,11.3
126,1979,101.989998,6827700.288,50.01,9.43,11.3
127,1979,102.089996,6827700.288,50.01,9.43,11.3
128,1979,102.43,6827700.288,50.01,9.43,11.3
129,1979,103.620003,6827700.288,50.01,9.43,11.3
130,1979,104.470001,6827700.288,50.01,9.43,11.3
131,1979,104.199997,6827700.288,50.01,9.43,11.3
132,1979,103.639999,6827700.288,50.01,9.43,11.3
133,1979,102.690002,6827700.288,50.01,9.43,11.3
134,1979,102.32,6827700.288,50.01,9.43,11.3
135,1979,102.739998,6827700.288,50.01,9.43,11.3
136,1979,101.830002,6827700.288,50.01,9.43,11.3
137,1979,101.690002,6827700.288,50.01,9.43,11.3
138,1979,101.610001,6827700.288,50.01,9.43,11.3
139,1979,101.82,6827700.288,50.01,9.43,11.3
140,1979,101.589996,6827700.288,50.01,9.43,11.3
141,1979,101.970001,6827700.288,50.01,9.43,11.3
142,1979,103.080002,6827700.288,50.01,9.43,11.3
143,1979,103.099998,6827700.288,50.01,9.43,11.3
144,1979,103.099998,6827700.288,50.01,9.43,11.3
145,1979,103.150002,6827700.288,50.01,9.43,11.3
146,1979,103.809998,6827700.288,50.01,9.43,11.3
147,1979,104.169998,6827700.288,50.01,9.43,11.3
148,1979,104.099998,6827700.288,50.01,9.43,11.3
149,1979,104.040001,6827700.288,50.01,9.43,11.3
150,1979,104.300003,6827700.288,50.01,9.43,11.3
151,1979,105.650002,6827700.288,50.01,9.43,11.3
152,1979,105.980003,6827700.288,50.01,9.43,11.3
153,1979,105.489998,6827700.288,50.01,9.43,11.3
154,1979,106.400002,6827700.288,50.01,9.43,11.3
155,1979,107.419998,6827700.288,50.01,9.43,11.3
156,1979,107.519997,6827700.288,50.01,9.43,11.3
157,1979,108.25,6827700.288,50.01,9.43,11.3
158,1979,108.089996,6827700.288,50.01,9.43,11.3
159,1979,108.300003,6827700.288,50.01,9.43,11.3
160,1979,108.830002,6827700.288,50.01,9.43,11.3
161,1979,108.910004,6827700.288,50.01,9.43,11.3
162,1979,108.989998,6827700.288,50.01,9.43,11.3
163,1979,108.629997,6827700.288,50.01,9.43,11.3
164,1979,108.599998,6827700.288,50.01,9.43,11.3
165,1979,109.139999,6827700.288,50.01,9.43,11.3
166,1979,109.019997,6827700.288,50.01,9.43,11.3
167,1979,109.019997,6827700.288,50.01,9.43,11.3
168,1979,109.019997,6827700.288,50.01,9.43,11.3
169,1979,109.32,6827700.288,50.01,9.43,11.3
170,1979,107.440002,6827700.288,50.01,9.43,11.3
171,1979,106.400002,6827700.288,50.01,9.43,11.3
172,1979,106.849998,6827700.288,50.01,9.43,11.3
173,1979,107.660004,6827700.288,50.01,9.43,11.3
174,1979,108.169998,6827700.288,50.01,9.43,11.3
175,1979,107.510002,6827700.288,50.01,9.43,11.3
176,1979,107.82,6827700.288,50.01,9.43,11.3
177,1979,107.849998,6827700.288,50.01,9.43,11.3
178,1979,108.760002,6827700.288,50.01,9.43,11.3
