year,rg_state,rg_unit,real_us_gdp
1979,United States,Millions of chained 2012 dollars,6827700.288
1980,United States,Millions of chained 2012 dollars,6827222.411
1981,United States,Millions of chained 2012 dollars,7012547.104
1982,United States,Millions of chained 2012 dollars,6922469.131
1983,United States,Millions of chained 2012 dollars,7120967.981
1984,United States,Millions of chained 2012 dollars,7628881.782
1985,United States,Millions of chained 2012 dollars,7933291.265
1986,United States,Millions of chained 2012 dollars,8103923.054
1987,United States,Millions of chained 2012 dollars,8451430.462
1988,United States,Millions of chained 2012 dollars,8899167.526
1989,United States,Millions of chained 2012 dollars,9095857.788
1990,United States,Millions of chained 2012 dollars,9232382.996
1991,United States,Millions of chained 2012 dollars,9217917.069
1992,United States,Millions of chained 2012 dollars,9497071.958
1993,United States,Millions of chained 2012 dollars,9690657.272
1994,United States,Millions of chained 2012 dollars,10136560.99
1995,United States,Millions of chained 2012 dollars,10485329.85
1996,United States,Millions of chained 2012 dollars,10947941.73
1997,United States,Millions of chained 2012 dollars,11521938
1998,United States,Millions of chained 2012 dollars,12038283
1999,United States,Millions of chained 2012 dollars,12610491
2000,United States,Millions of chained 2012 dollars,13130987
2001,United States,Millions of chained 2012 dollars,13262079
2002,United States,Millions of chained 2012 dollars,13493064
2003,United States,Millions of chained 2012 dollars,13879129
2004,United States,Millions of chained 2012 dollars,14406382
2005,United States,Millions of chained 2012 dollars,14912509
2006,United States,Millions of chained 2012 dollars,15338257
2007,United States,Millions of chained 2012 dollars,15626029
2008,United States,Millions of chained 2012 dollars,15604687
2009,United States,Millions of chained 2012 dollars,15208834
2010,United States,Millions of chained 2012 dollars,15598753
2011,United States,Millions of chained 2012 dollars,15840664
2012,United States,Millions of chained 2012 dollars,16197007
2013,United States,Millions of chained 2012 dollars,16495369
2014,United States,Millions of chained 2012 dollars,16912038
2015,United States,Millions of chained 2012 dollars,17432170
2016,United States,Millions of chained 2012 dollars,17730509
2017,United States,Millions of chained 2012 dollars,18144105
2018,United States,Millions of chained 2012 dollars,18687786
2019,United States,Millions of chained 2012 dollars,19091662
2020,United States,Millions of chained 2012 dollars,18426076
